COSITE,YEAR,JANAADT,FEBAADT,MARAADT,APRAADT,MAYAADT,JUNAADT,JULAADT,AUGAADT,SEPAADT,OCTAADT,NOVAADT,DECAADT,,,,,,,
100080,2014,12343,13916,14375,12795,12289,11801,11209,11805,11846,12277,11792,12124,,,,,,,
100080,2018,13383,15004,15046,14023,13249,13293,12971,13266,13004,13451,13047,13069,,,,,,,
100080,2016,13410,14951,15551,14128,13542,12507,12551,13085,13014,13505,13145,13100,,,,,,,
100080,2020,13778,15069,13373,10086,11842,12141,11791,12333,12779,13067,12414,12792,,,,,,,
100080,2019,13504,14942,15118,14009,13698,13153,12635,13410,13259,13679,13197,13345,,,,,,,
100080,2015,12956,14419,14847,13455,13093,12407,11473,12206,12827,13882,12398,13010,,,,,,,
100080,2017,13758,14985,15199,13476,12840,12231,12229,13014,12330,13350,12991,13212,,,,,,,
100080,2021,13349,14615,15652,14092,14003,13297,12703,12977,13179,13718,13216,13547,,,,,,,
100106,2011,113889,125629,131863,123731,117926,117607,117444,114895,111212,115392,116111,116466,,,,,,,
100106,2012,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
100106,2013,117130,126488,133053,124402,122891,120713,120028,120550,115470,121241,120406,122122,,,,,,,
100106,2014,118730,129492,136623,130534,125821,125508,125053,124166,118601,126567,123897,127741,,,,,,,
100106,2018,138027,147951,151468,145309,138344,142525,141701,140552,135375,136741,137428,137572,,,,,,,
100106,2016,131959,142062,149372,141932,139106,137250,140062,135187,131764,138646,138484,139117,,,,,,,
100106,2015,127103,136655,144776,137740,135298,133970,131430,130344,129150,134433,134247,136430,,,,,,,
100106,2017,137858,143953,151039,145675,144310,138739,141318,137807,123640,144026,141407,141932,,,,,,,
100162,2011,32471,34806,34026,33201,32324,32485,32606,34135,32739,32197,30619,31133,,,,,,,
100162,2012,31849,33410,33206,31992,31629,31657,31314,31484,30372,31023,30437,29703,,,,,,,
100162,2013,30253,32311,32182,31951,31628,31970,28080,29548,29971,31325,30833,31098,,,,,,,
100162,2014,29969,32407,31823,30973,29801,30417,29259,30292,29906,30849,29782,30408,,,,,,,
100162,2018,25934,26968,26797,26368,25827,26114,25621,27433,26876,27566,27043,27353,,,,,,,
100162,2016,25408,27963,28193,28090,27842,28028,27318,28631,28225,29180,27726,27934,,,,,,,
100162,2020,29758,31746,26001,18498,22541,26372,24549,25510,25773,26490,24712,24986,,,,,,,
100162,2019,28173,30399,30786,30352,29681,30218,29537,31126,30083,30637,29230,29419,,,,,,,
100162,2015,31263,34395,29907,26910,25633,25591,24904,24961,25353,26222,25765,25737,,,,,,,
100162,2017,28337,29750,29838,31569,29043,29115,28948,29311,25136,28922,26942,26277,,,,,,,
100162,2021,25858,27425,28420,28025,28456,28756,27517,27919,27822,29453,27870,27713,,,,,,,
100276,2011,6308,6660,6565,6179,6105,5403,5015,5168,5379,5680,6094,6255,,,,,,,
100276,2012,6128,6461,6495,6228,6346,5175,5060,5063,5250,5550,5900,6000,,,,,,,
100276,2013,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
100276,2014,6050,6450,6300,6200,6050,6133,5508,5638,5821,6318,6509,6758,,,,,,,
100276,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
100276,2016,6810,7577,7760,7336,7582,6547,6035,6421,6535,7075,7388,7432,,,,,,,
100276,2020,8338,9011,8042,6241,7178,6994,6754,6982,7256,7694,7534,7867,,,,,,,
100276,2019,7589,8272,8276,8303,8133,7389,6763,7322,7685,7849,8082,8182,,,,,,,
100276,2015,6761,7092,7146,6865,7043,6336,5516,5791,6150,6974,7469,7581,,,,,,,
